"120.00
","35.00
","98.49
","99.65
","98.13
"
"125.00
","40.00
","98.42
","99.65
","98.03
"
"130.00
","45.00
","98.08
","99.16
","97.16
"
"135.00
","50.00
","97.98
","97.65
","95.47
"
"140.00
","55.00
","97.02
","94.28
","91.59
"
"145.00
","60.00
","97.43
","89.19
","87.07
"
"150.00
","65.00
","96.99
","84.25
","81.98
"
"155.00
","70.00
","97.11
","79.03
","77.09
"
"160.00
","75.00
","96.56
","74.10
","72.34
"
"165.00
","80.00
","95.97
","68.77
","67.29
"
"170.00
","85.00
","94.41
","64.73
","64.03
"
"175.00
","90.00
","93.88
","61.15
","60.93
"
"180.00
","95.00
","92.26
","56.57
","60.30
"
"185.00
","100.00
","90.35
","52.01
","52.44
"
"190.00
","105.00
","88.54
","46.45
","46.90
"
"195.00
","110.00
","86.87
","40.82
","42.59
"
"200.00
","115.00
","84.67
","34.57
","35.81
"
"205.00
","120.00
","82.85
","28.64
","32.40
"
"210.00
","125.00
","80.36
","23.65
","25.84
"
"215.00
","130.00
","79.69
","20.31
","23.22
"
"220.00
","135.00
","76.14
","17.42
","18.41
"
"225.00
","140.00
","74.76
","14.37
","16.27
"
"230.00
","145.00
","72.36
","11.93
","14.16
"
"235.00
","150.00
","71.01
","10.42
","11.85
"
"240.00
","155.00
","68.00
","9.04
","9.44
"
"245.00
","160.00
","67.11
","7.68
","8.54
"
"250.00
","165.00
","65.12
","7.20
","8.04
"
"255.00
","170.00
","62.49
","6.18
","7.15
"
