"120.00
","30.00
","96.57
","86.44
","83.82
"
"115.00
","25.00
","97.48
","93.84
","91.51
"
"120.00
","30.00
","97.08
","85.16
","82.59
"
"125.00
","35.00
","96.68
","76.60
","73.95
"
"130.00
","40.00
","96.05
","70.29
","67.42
"
"135.00
","45.00
","94.88
","61.70
","57.75
"
"140.00
","50.00
","92.38
","53.60
","47.55
"
"145.00
","55.00
","88.80
","47.72
","38.65
"
"150.00
","60.00
","85.75
","38.36
","26.62
"
"160.00
","70.00
","78.43
","23.60
","14.65
"
"165.00
","75.00
","75.00
","18.83
","9.91
"
"170.00
","80.00
","70.91
","14.16
","5.54
"
"175.00
","85.00
","66.89
","11.41
","4.06
"
"180.00
","90.00
","64.44
","9.18
","3.01
"
"185.00
","95.00
","60.95
","7.72
","2.53
"
"190.00
","100.00
","57.98
","6.52
","1.93
"
"195.00
","105.00
","55.21
","4.43
","0.96
"
"200.00
","110.00
","52.53
","4.09
","1.66
"
"205.00
","115.00
","46.62
","3.75
","0.70
"
"210.00
","120.00
","42.93
","2.64
","0.28
"
"215.00
","125.00
","40.27
","2.62
","0.50
"
"220.00
","130.00
","37.07
","2.43
","0.68
"
"225.00
","135.00
","32.59
","1.82
","0.00
"
"230.00
","140.00
","29.06
","1.56
","0.48
"
"235.00
","145.00
","25.38
","1.25
","0.00
"
"240.00
","150.00
","21.36
","0.87
","0.48
"
"245.00
","155.00
","20.22
","0.90
","0.00
"
"255.00
","165.00
","15.19
","0.59
","0.00
"
"155.00
","65.00
","81.12
","27.68
","15.22
"
"250.00
","160.00
","17.33
","0.00
","0.00
"
